Epoch [1/10] Loss: 4.1903  (im=0.214, ctx=0.026, txt=4.127, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/10] Loss: 4.1392  (im=0.230, ctx=0.012, txt=3.915, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/10] Loss: 4.1328  (im=0.226, ctx=0.016, txt=3.502, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/10] Loss: 4.1241  (im=0.308, ctx=0.041, txt=3.619, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/10] Loss: 4.1071  (im=0.195, ctx=0.025, txt=4.055, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/10] Loss: 4.1088  (im=0.234, ctx=0.013, txt=4.040, reid=0.000, g_mse=0.141, nce=0.000, entpool=0.000)
Epoch [7/10] Loss: 4.1106  (im=0.233, ctx=0.026, txt=3.205, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/10] Loss: 4.1029  (im=0.235, ctx=0.038, txt=2.930, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/10] Loss: 4.1080  (im=0.253, ctx=0.020, txt=3.557, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/10] Loss: 4.1091  (im=0.239, ctx=0.030, txt=3.363, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
