Epoch [1/10] Loss: 4.1958  (im=0.229, ctx=0.018, txt=2.078, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/10] Loss: 4.1430  (im=0.225, ctx=0.015, txt=3.868, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/10] Loss: 4.1194  (im=0.257, ctx=0.023, txt=3.485, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/10] Loss: 4.1108  (im=0.230, ctx=0.027, txt=4.363, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/10] Loss: 4.1178  (im=0.252, ctx=0.011, txt=3.380, reid=0.000, g_mse=0.200, nce=0.000, entpool=0.000)
Epoch [6/10] Loss: 4.1124  (im=0.249, ctx=0.018, txt=3.544, reid=0.001, g_mse=0.204, nce=0.000, entpool=0.000)
Epoch [7/10] Loss: 4.1089  (im=0.244, ctx=0.022, txt=3.619, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/10] Loss: 4.1021  (im=0.243, ctx=0.022, txt=2.101, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/10] Loss: 4.1096  (im=0.327, ctx=0.088, txt=3.665, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/10] Loss: 4.1102  (im=0.243, ctx=0.021, txt=4.822, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
