Epoch [1/10] Loss: 4.2978  (im=0.310, ctx=0.026, txt=4.467, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/10] Loss: 4.2161  (im=0.235, ctx=0.035, txt=4.224, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/10] Loss: 4.1809  (im=0.215, ctx=0.026, txt=3.128, reid=0.002, g_mse=0.231, nce=0.000, entpool=0.000)
Epoch [4/10] Loss: 4.1535  (im=0.225, ctx=0.026, txt=3.679, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/10] Loss: 4.1301  (im=0.227, ctx=0.013, txt=4.008, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/10] Loss: 4.1308  (im=0.241, ctx=0.019, txt=3.883, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/10] Loss: 4.1227  (im=0.238, ctx=0.020, txt=2.674, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/10] Loss: 4.1154  (im=0.224, ctx=0.021, txt=3.287, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/10] Loss: 4.1132  (im=0.236, ctx=0.019, txt=3.540, reid=0.002, g_mse=0.082, nce=0.000, entpool=0.000)
Epoch [10/10] Loss: 4.1119  (im=0.244, ctx=0.023, txt=3.634, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
