Epoch [1/20] Loss: 4.1716  (im=0.224, ctx=0.030, txt=4.027, reid=0.001, g_mse=0.178, nce=0.000, entpool=0.000)
Epoch [2/20] Loss: 4.0874  (im=0.233, ctx=0.022, txt=3.225, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/20] Loss: 4.0588  (im=0.292, ctx=0.020, txt=5.171, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/20] Loss: 4.0259  (im=0.226, ctx=0.029, txt=3.917, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/20] Loss: 4.0108  (im=0.222, ctx=0.017, txt=3.620, reid=0.000, g_mse=0.075, nce=0.000, entpool=0.000)
Epoch [6/20] Loss: 3.9795  (im=0.239, ctx=0.016, txt=3.463, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/20] Loss: 3.9631  (im=0.238, ctx=0.027, txt=3.293, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/20] Loss: 3.9515  (im=0.230, ctx=0.018, txt=3.366, reid=0.000, g_mse=0.192, nce=0.000, entpool=0.000)
Epoch [9/20] Loss: 3.9343  (im=0.427, ctx=0.065, txt=3.510, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/20] Loss: 3.9217  (im=0.250, ctx=0.021, txt=3.570, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/20] Loss: 3.9033  (im=0.268, ctx=0.049, txt=3.130, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/20] Loss: 3.8837  (im=0.227, ctx=0.048, txt=2.703, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/20] Loss: 3.8707  (im=0.254, ctx=0.020, txt=3.778, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/20] Loss: 3.8544  (im=0.258, ctx=0.038, txt=3.365, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [15/20] Loss: 3.8451  (im=0.341, ctx=0.042, txt=3.939, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [16/20] Loss: 3.8360  (im=0.261, ctx=0.027, txt=3.221, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [17/20] Loss: 3.8242  (im=0.255, ctx=0.010, txt=2.922, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [18/20] Loss: 3.8145  (im=0.225, ctx=0.018, txt=3.654, reid=0.000, g_mse=0.132, nce=0.000, entpool=0.000)
Epoch [19/20] Loss: 3.7989  (im=0.245, ctx=0.017, txt=3.357, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [20/20] Loss: 3.7908  (im=0.215, ctx=0.017, txt=4.169, reid=0.000, g_mse=0.196, nce=0.000, entpool=0.000)
