Epoch [1/10] Loss: 4.1698  (im=0.332, ctx=0.059, txt=3.716, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/10] Loss: 4.0888  (im=0.258, ctx=0.028, txt=3.030, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/10] Loss: 4.0555  (im=0.242, ctx=0.016, txt=4.536, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/10] Loss: 4.0280  (im=0.263, ctx=0.027, txt=4.088, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/10] Loss: 4.0020  (im=0.194, ctx=0.016, txt=3.214, reid=0.000, g_mse=0.123, nce=0.000, entpool=0.000)
Epoch [6/10] Loss: 3.9719  (im=0.226, ctx=0.022, txt=3.750, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/10] Loss: 3.9738  (im=0.226, ctx=0.017, txt=2.858, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/10] Loss: 3.9496  (im=0.255, ctx=0.010, txt=2.994, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/10] Loss: 3.9296  (im=0.249, ctx=0.034, txt=3.659, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/10] Loss: 3.9138  (im=0.254, ctx=0.020, txt=3.372, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
