Epoch [1/20] Loss: 4.0268  (im=0.287, ctx=0.039, txt=3.184, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/20] Loss: 3.9818  (im=0.225, ctx=0.023, txt=3.438, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/20] Loss: 3.9588  (im=0.255, ctx=0.036, txt=3.612, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/20] Loss: 3.9363  (im=0.272, ctx=0.019, txt=3.884, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/20] Loss: 3.9188  (im=0.219, ctx=0.023, txt=5.154, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/20] Loss: 3.8985  (im=0.227, ctx=0.016, txt=3.846, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/20] Loss: 3.8823  (im=0.237, ctx=0.019, txt=4.291, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/20] Loss: 3.8623  (im=0.241, ctx=0.021, txt=2.845, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/20] Loss: 3.8507  (im=0.242, ctx=0.039, txt=3.867, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/20] Loss: 3.8345  (im=0.240, ctx=0.017, txt=3.055, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/20] Loss: 3.8212  (im=0.279, ctx=0.022, txt=3.294, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/20] Loss: 3.8100  (im=0.254, ctx=0.034, txt=4.227, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/20] Loss: 3.7964  (im=0.251, ctx=0.024, txt=3.632, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/20] Loss: 3.7823  (im=0.228, ctx=0.032, txt=3.422, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [15/20] Loss: 3.7699  (im=0.254, ctx=0.018, txt=3.086, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [16/20] Loss: 3.7603  (im=0.260, ctx=0.047, txt=3.515, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [17/20] Loss: 3.7494  (im=0.235, ctx=0.037, txt=3.467, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [18/20] Loss: 3.7384  (im=0.238, ctx=0.024, txt=3.707, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [19/20] Loss: 3.7289  (im=0.232, ctx=0.018, txt=3.780, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [20/20] Loss: 3.7200  (im=0.240, ctx=0.021, txt=4.112, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
