Epoch [1/10] Loss: 4.1786  (im=0.192, ctx=0.024, txt=4.875, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/10] Loss: 4.1683  (im=0.196, ctx=0.023, txt=4.334, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/10] Loss: 4.1643  (im=0.231, ctx=0.029, txt=2.756, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/10] Loss: 4.1630  (im=0.249, ctx=0.023, txt=3.128, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/10] Loss: 4.1600  (im=0.229, ctx=0.027, txt=3.240, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/10] Loss: 4.1531  (im=0.273, ctx=0.036, txt=4.248, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/10] Loss: 4.1500  (im=0.243, ctx=0.025, txt=3.009, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/10] Loss: 4.1524  (im=0.229, ctx=0.036, txt=3.909, reid=0.000, g_mse=0.176, nce=0.000, entpool=0.000)
Epoch [9/10] Loss: 4.1541  (im=0.250, ctx=0.017, txt=4.199, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/10] Loss: 4.1589  (im=0.229, ctx=0.017, txt=5.780, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
